Area affected by floods,Area affected by drought,Hailstorm-affected area,Flood damaged area,Drought damaged area,Hail damaged area,SPI3_1,SPI3_2,SPI3_3,SPI3_4,Maize sown area,Year-end mechanical power,Effective irrigated area,fertilizer application,Agricultural plastic film usage,NDVI_mean6,NDVI_mean7,NDVI_mean8,NDVI_mean9,玉米单位面积产量(公斤/公顷)
0.139293532,0.053738462,0.097721609,0.142687084,0.071911906,0.103833162,0.58685446,0.795414462,0.43551797,0.89375,0.435644683,0.068579919,0.066871429,0.128240756,0.047408276,0.72719412,0.846598203,0.867446394,0.863507779,0.638056931
0.020378897,0.038769231,0.091046636,0.010389048,0.044557932,0.052724335,0.784037559,0.114638448,0.304439746,0.29375,0.452697028,0.086034873,0.083794748,0.148510805,0.062196148,0.781452659,0.866495507,0.914013429,0.914662895,0.851899747
0.024983018,0.046738462,0.041295835,0.003300687,0.05298436,0.047437215,0.314553991,0.53968254,0.604651163,0.627083333,0.479097674,0.102623063,0.093092929,0.167358682,0.060988106,0.865974924,0.887890458,0.916612519,0.873408769,0.967532279
0.159596951,0,0.169722321,0.11292679,0,0.013364664,0.840375587,0.659611993,0.437632135,0.764583333,0.516392874,0.117198498,0.021445568,0.183803577,0.066831886,0.927799395,0.916559692,0.916179337,0.941301273,1
0.007585478,0.087430769,0.074670701,0.008495211,0.074210022,0.096636804,0.774647887,0.414462081,0.536997886,0.16875,0.551027047,0.13290912,0.046247707,0.199937882,0.064779197,0.927799395,0.902652974,0.86398094,0.818481848,0.903444093
0.007547739,0.107692308,0.103684585,0.007521238,0.105170763,0.099427229,0.253521127,0.603174603,0.513742072,0.295833333,0.576673622,0.152309515,0.080303999,0.207424723,0.069054814,0.872676178,0.879974326,0.925276153,0.928807166,0.900962527
0.025096234,0.080661538,0.049839801,0.022130837,0.107532716,0.057717727,0.64084507,0.497354497,0.88372093,0.560416667,0.575436347,0.148381237,0.088962734,0.211298918,0.070367618,0.838089062,0.879546427,0.91184752,0.913719943,0.982022577
0.168956148,0.073138462,0.044054824,0.171365186,0.053271625,0.049346453,0.704225352,0.456790123,0.238900634,0.602083333,0.56482491,0.163288253,0.101726506,0.207065093,0.074253649,0.879377432,0.880616175,0.913580247,0.919849128,0.995353473
0.004792815,0.167076923,0.13999644,0.006926032,0.06176189,0.150389191,0.147887324,0.603174603,0.515856237,0.660416667,0.574007151,0.178358982,0.101726506,0.20261876,0.059403574,0.807609166,0.893239196,0.923110245,0.935407826,0.730017592
0.140032528,0.135152071,0.106532574,0.089994442,0.140396241,0.071082391,0.521126761,0.395061728,0.501057082,0.704166667,0.572392841,0.193960739,0.105175324,0.200591755,0.049300547,0.889969736,0.925759521,0.957981373,0.969825554,0.86383936
0.015774775,0.1626,0.070576718,0.003408906,0.229173316,0.043178147,0.849765258,0.46031746,0.285412262,0.566666667,0.215664256,0.0249068,0.023527439,0.022068199,0.147462948,0.714007782,0.785194694,0.800519818,0.837340877,0.760427373
0.128424787,0.060615385,0.063456746,0.112548022,0.085541015,0.050521369,0.544600939,0.329805996,0.871035941,0.522916667,0.242029512,0.049719694,0.024999214,0.025353909,0.175784818,0.79766537,0.844886607,0.844704353,0.789721829,0.667126712
0.030870254,0.143169231,0.014862941,0.016557546,0.218736036,0.01718314,0.244131455,0.525573192,0.541226216,0.329166667,0.267974176,0.0561394,0.025003407,0.02734822,0.200525122,0.6692607,0.772785623,0.804201863,0.784535596,0.616828723
0.014453921,0.346307692,0.068262727,0.007737677,0.320778806,0.067998238,0.408450704,0.920634921,0.173361522,0.5125,0.275882392,0.051684248,0.017334242,0.037793834,0.243307481,0.646995244,0.832263586,0.814165042,0.77204149,0.557509693
0.063778398,0.049430769,0.023584906,0.018234944,0.075327162,0.033925687,0.448356808,0.437389771,0.568710359,0.491666667,0.265668408,0.06007682,0.017839509,0.03991892,0.235119642,0.819498487,0.854728284,0.847953216,0.860443187,0.661173627
0.006113669,0.320569231,0.054645781,0.001839727,0.310181934,0.080775444,0.138497653,0.664902998,0.589852008,0.191666667,0.282862311,0.068407896,0.021330258,0.047830778,0.279149329,0.774102897,0.786050492,0.769763916,0.719707685,0.348021324
0.265416258,0.002707692,0.02242791,0.286456361,0.003989786,0.031282127,0.516431925,0.742504409,0.530655391,0.933333333,0.308028404,0.077194376,0.027192201,0.058407166,0.28584103,0.752485949,0.80851519,0.854450942,0.857378595,0.480320263
0.09502604,0.001030769,0.032306871,0.062496618,0,0.021295344,0.784037559,0.105820106,0.403805497,0.502083333,0.32093336,0.089762043,0.03785104,0.065861314,0.344658589,0.782749676,0.814505777,0.872427984,0.859264498,0.67557474
0.005358895,0,0.023851905,0.000757535,0,0.03040094,0.384976526,0.569664903,0.701902748,0.71875,0.338954836,0.100316124,0.061005294,0.069555694,0.350243736,0.837872892,0.872700043,0.863114577,0.833333333,0.693008136
0.125254736,0.003676923,0.075827697,0.108976787,0.004308969,0.077691291,0.957746479,0.615520282,0.283298097,0.710416667,0.352366135,0.109049418,0,0.077500245,0.353563396,0.832468655,0.880402225,0.871128438,0.868694012,0.806799002
0.003736131,0.278676923,0.016731933,0.000811644,0.402904564,0.025554413,0.723004695,0.386243386,0.505285412,0.089583333,0.373540009,0.117213457,0.013864458,0.077156962,0.354017803,0.880890618,0.82605905,0.766081871,0.70815653,0.374761152
0.000981206,0.219923077,0.036667853,5.41E-05,0.296297478,0.060508151,0.187793427,0.594356261,0.579281184,0.204166667,0.395825932,0.124164192,0.023579852,0.07803969,0.340056277,0.840034587,0.814719726,0.816764133,0.730080151,0.549523196
0.034568647,0.061692308,0.030348879,0.030030842,0.015512289,0.012336613,0.647887324,0.463844797,0.752642706,0.597916667,0.37777315,0.070528685,0.034624456,0.071451924,0.324770816,0.807176827,0.826486949,0.878059346,0.884252711,0.701344684
0.040946487,0.119630769,0.047703809,0.03760619,0.059431854,0.047730944,0.424882629,0.442680776,0.078224101,0.514583333,0.364461214,0.074408764,0.042499083,0.067218099,0.283907311,0.714656291,0.797175866,0.845570717,0.905469118,0.736820161
0,0.179615385,0.045923816,0.000216439,0.077784871,0.05551476,0.291079812,0.529100529,0.268498943,0.514583333,0.367319605,0.076783847,0.04433985,0.066482493,0.261594157,0.74773022,0.811082585,0.832575265,0.850777935,0.621256747
0.163557156,0.002153846,0.021092916,0.178468686,0.003511012,0.010867969,0.328638498,0.453262787,0.338266385,0.6375,0.36215,0.085939305,0.046404948,0.058129271,0.246957797,0.740380458,0.78690629,0.863547758,0.904761905,0.825400718
0.269001434,0.042553846,0.705411178,0.416157134,0.040217044,0.21941548,0.906103286,0.340388007,0.617336152,0.64375,0.332211755,0.617633127,0.704223492,0.56659692,0.94642711,0.370298314,0.628155755,0.696556205,0.557520038,0.616271318
0.196165748,0.0548,0.146582414,0.384557113,0.022981168,0.122044353,0.340375587,0.462081129,0.617336152,0.81875,0.369832267,0.654815902,0.709076996,0.593847059,0.961113494,0.211629918,0.628797604,0.718215291,0.677039132,0.671302789
0.1367273,0.157846154,0.398095408,0.597045614,0.211330993,0.341019239,0.279342723,0.335097002,0.598308668,0.183333333,0.385210412,0.684396415,0.714989255,0.630120639,1,0.342412451,0.59114249,0.688542344,0.608675153,0.625941178
0.236923541,0.081661538,0.264061944,0.343217358,0.089690393,0.115141724,0.307511737,0.922398589,0.498942918,0.758333333,0.386737609,0.714522083,0.718893024,0.647317488,0.992365438,0.36381323,0.628583654,0.724713017,0.652050919,0.634647843
0.044229753,0.039384615,0.226682093,0.125480223,0.027928503,0.083859598,0.363849765,0.384479718,0.655391121,0.652083333,0.408149682,0.75044003,0.723232874,0.608068787,0.927078798,0.28945093,0.633932392,0.727745289,0.682932579,0.718847197
0.2856442,0.180723077,0.151210395,0.638710027,0.260038302,0.125422235,0.302816901,0.611992945,0.610993658,0.358333333,0.424230174,0.811160068,0.731501651,0.602396443,0.902832842,0.274102897,0.580017116,0.716265974,0.657001414,0.69901919
0.581364631,0.090076923,0.062655749,0.568205184,0.105872965,0.010867969,0.478873239,0.784832451,0.355179704,0.789583333,0.440068384,0.856726274,0.743741286,0.606417759,0.932693409,0.398400346,0.562901155,0.707169157,0.740924092,0.677541265
0.212657559,0.199215385,0.090779637,0.223851523,0.064251516,0.024526362,0.051643192,0.174603175,0.192389006,0.63125,0.456828084,0.895724849,0.750362178,0.603671494,0.917476666,0.325767402,0.552631579,0.753519601,0.752946723,0.727313063
